date,Snow,Reservoirs,ANT,BLB,BRD,BUC,BUL,CAS,CCH,CHV,CLE,CMN,COY,DAV,DNN,DNP,DON,ENG,EXC,FOL,FRD,HID,HTH,ICH,INP,INV,ISB,KES,LEW,LON,MIL,NAT,NHG,NML,ORO,PAR,PNF,PRR,PYM,SCC,SHA,SNL,STP,TRM,TUL,UNV,WHI,WRS
11/30/03,685315.156,"14,965,602",15420,32838,71287,17091,583357,,,208745,1700558,282310,56555,46733,--,1446055,23669,63603,381400,498994,25466,9688,236365,28928,--,148080,149000,22131,14038,33739,218419,8195,98892,1275712,2071847,167700,170884,,,6133,3090196,1122517,,9586,54545,166633,206536,201757
12/1/03,664880.3241,"14,965,681",15399,33595,71046,17084,582872,,,208583,1702259,282310,56837,46701,--,1446055,23783,63770,381095,496853,25466,9688,236365,28939,--,148080,148945,21805,14210,33729,219191,8281,98869,1276132,2067297,167700,171556,,,6184,3094584,1120230,,9701,54364,166840,206831,202452
12/2/03,952376.9896,"14,974,200",15392,34516,70798,17084,582457,,,207932,1704090,282060,57072,46672,--,1447055,23899,63998,380621,494251,25476,9697,236365,28939,--,148976,148725,21441,14120,33709,220591,8214,98759,1275880,2065242,167580,172114,,,6235,3098513,1125429,,9805,54887,166903,206065,202638
12/3/03,906782.4905,"14,991,969",15340,34885,70558,17084,582266,,,207281,1705660,282310,57276,46640,3282,1447055,24000,64013,380218,491895,25466,9706,236196,28928,14203,149228,148505,21835,14061,33647,221007,8134,98626,1276468,2061782,167440,172975,,,6279,3100603,1128239,,9910,54385,166945,205093,202545
12/4/03,845419.6235,"14,987,895",15310,35276,70558,17084,581505,,,206630,1706445,282310,57654,46672,3266,1447055,23899,63967,380082,489068,25466,9715,235858,28934,14109,149340,148286,22149,14180,33574,222233,8209,98515,1275712,2058435,167360,173301,,,6327,3102924,1126157,,10013,55411,167131,205299,202476
12/5/03,758876.0108,"14,988,664",15296,36186,70722,17099,580415,,,206141,1709061,282310,58143,46643,3290,1447055,23764,63906,379271,486645,25466,9750,236196,28978,14169,149480,148068,22266,14263,33564,223134,8219,98471,1276635,2052937,167320,173558,,,6368,3111048,1122517,,10124,54962,167297,205358,202569
12/6/03,845030.4813,"15,081,815",15414,37556,70773,17115,581609,,,208260,1720880,282560,59252,46759,3632,1449055,24166,64036,378734,485089,25573,9772,237210,29104,14304,149648,147904,22433,14203,34029,224304,8223,98471,1275628,2068922,167320,173418,,,6424,3158438,1124492,,10374,56961,168484,206831,204455
12/7/03,941821.5064,"15,156,219",15444,39550,71002,17129,592508,,,210373,1729843,282310,59890,46970,3655,1451058,24573,65433,379070,488047,25554,9826,238900,29258,14263,150544,147794,21909,13963,34787,225361,8176,98515,1277727,2081402,167940,173955,,,6525,3179846,1126469,,10715,56563,169551,204946,204875
12/8/03,1441261.25,"15,183,363",15429,41289,71096,17142,593878,,,211349,1733540,282310,60337,47180,3632,1451058,24548,65883,379103,488047,25554,9911,239750,29302,14223,151300,147794,21459,13595,34986,226723,8082,98471,1278739,2081076,168280,174400,,,6674,3189043,1131156,,11105,56116,169929,204975,204899
12/9/03,1510755.568,"15,198,586",15385,43170,71382,17136,594300,,,211838,1734993,282310,60931,47390,3608,1452060,24264,66109,378969,486879,25583,9969,240260,29340,14109,151480,147630,21520,14218,35595,227450,8281,98449,1279497,2078033,168340,175291,,,6798,3198747,1129593,,11346,55661,170055,205063,205554
12/10/03,1711788.071,"15,227,956",15372,45800,72069,17136,595883,,,212651,1736842,282800,62722,47603,3655,1454066,23673,66539,379036,487268,25661,10014,240600,29451,14190,152050,147248,21690,14098,36230,229035,8286,98493,1281520,2080641,168600,176066,,,6903,3209173,1125117,,11563,55292,170645,204887,207388
12/11/03,2005841.783,"15,257,168",15360,46926,72572,17155,597537,,,213140,1738297,282800,63762,47690,3632,1454066,23212,67327,379306,490010,25632,10082,240940,29489,14149,153790,147193,20961,13617,36464,230469,8361,98759,1283290,2083470,168930,177387,,,7030,3219147,1125845,,11829,54919,169320,204946,208357
12/12/03,2276709.104,"15,276,450",15348,46103,72777,17162,598277,,,213628,1739756,282800,65135,47741,3600,1456074,22956,67043,379441,491424,25642,10136,241280,29539,14123,154329,147248,21647,14135,36581,231483,8134,98958,1284386,2082926,169070,178215,,,7158,3230582,1121997,,12057,54492,168713,205358,208996
12/13/03,2194705.484,"15,325,399",15355,45521,72982,17168,601240,,,214279,1742674,283050,67129,47790,3593,1457100,22822,65938,379744,493466,25632,10178,241620,29622,14123,155605,147139,22645,14248,36752,231883,8214,99113,1285566,2091863,169290,178286,,,7267,3251130,1122829,,12272,54110,169048,206477,210636
12/14/03,2896888.334,"15,428,301",15392,45730,73129,17201,606898,,,215093,1752630,282800,69526,47845,3640,1458106,22816,66453,379710,498042,25680,10232,242130,29694,14116,157290,147030,22488,14315,36998,233021,8233,99580,1287511,2108171,169810,179044,,,7391,3299219,1125949,,12537,53879,168818,205947,214207
12/15/03,2844240.632,"15,468,091",15370,44438,73398,17233,609137,,,215744,1757826,282800,70296,47895,3608,1459111,22500,65340,379879,501927,25700,10283,242642,29711,14075,158940,147084,21508,14158,36538,234876,7993,99869,1287172,2109050,169950,179971,,,7532,3315630,1133450,,12177,55132,168296,204946,214906
12/16/03,3360372.956,"15,493,574",15318,42433,73501,17246,609959,,,216069,1760758,282800,70884,47925,3577,1460118,22388,64013,379946,503751,25700,10333,242813,29733,14036,159630,147030,21241,14128,36124,236396,7819,99958,1288188,2110148,169950,180496,,,7645,3320232,1148185,,11427,54737,167131,204563,215245
12/17/03,3306120.043,"15,516,906",15296,40230,73521,17181,610317,,,216395,1762356,283180,71406,47954,3554,1460118,22348,63489,379744,503911,25710,10366,242984,29744,14015,159990,146920,20955,14031,35363,237612,7778,99981,1289204,2114764,169390,181905,,,7739,3322170,1163297,,10676,54321,166862,204739,215390
