04/14/2015,Reservoircapacityupdatedfrom77,600to97,800frominformationfoundathttp://ce-npdp-serv2.stanford.edu/DamDirectory/DamDetail.jsp?npdp_id=CA00263,
Date,STORAGE , ,,RESCHG , ,,OUTFLOW , ,,PPTINC , ,,
 ,AF, ,AF, ,CFS, ,INCHES, ,
09/30/2004,53958,,-714,,525,,0.00,,
10/01/2004,53402,,-556,,515,,0.00,,
10/02/2004,52712,,-690,,511,,0.00,,
10/03/2004,52121,,-591,,514,,0.00,,
10/04/2004,51595,,-526,,515,,0.00,,
10/05/2004,51109,,-486,,515,,0.00,,
10/06/2004,50541,,-568,,515,,0.00,,
10/07/2004,49925,,-616,,512,,0.00,,
10/08/2004,49335,,-590,,511,,0.00,,
10/09/2004,48382,,-953,,508,,0.00,,
10/10/2004,47665,,-717,,504,,0.00,,
10/11/2004,46718,,-947,,500,,0.00,,
10/12/2004,45853,,-865,,501,,0.00,,
10/13/2004,45240,,-613,,515,,0.00,,
10/14/2004,44988,,-252,,503,,0.00,,
10/15/2004,44498,,-490,,501,,0.00,,
10/16/2004,43563,,-935,,501,,0.00,,
10/17/2004,42877,,-686,,499,,0.14,,
10/18/2004,42247,,-630,,498,,2.03,,
10/19/2004,41727,,-520,,495,,1.23,,
10/20/2004,41339,,-388,,488,,1.96,,
10/21/2004,40691,,-648,,491,,0.86,,
10/22/2004,40239,,-452,,499,,0.00,,
10/23/2004,39519,,-720,,498,,0.00,,
10/24/2004,38948,,-571,,498,,0.26,,
10/25/2004,38887,,-61,,496,,0.14,,
10/26/2004,38969,,82,,488,,1.07,,
10/27/2004,39015,,46,,485,,0.68,,
10/28/2004,38933,,-82,,486,,0.03,,
10/29/2004,38953,,20,,487,,0.00,,
10/30/2004,38503,,-450,,485,,0.00,,
10/31/2004,38323,,-180,,487,,0.00,,
11/01/2004,38416,,93,,489,,0.00,,
11/02/2004,38472,,56,,483,,0.00,,
11/03/2004,38528,,56,,478,,0.00,,
11/04/2004,38380,,-148,,478,,0.51,,
11/05/2004,38696,,316,,479,,0.00,,
11/06/2004,38548,,-148,,479,,0.00,,
11/07/2004,38452,,-96,,473,,0.00,,
11/08/2004,38918,,466,,236,,0.00,,
11/09/2004,39622,,704,,132,,0.17,,
11/10/2004,40213,,591,,130,,0.00,,
11/11/2004,40749,,536,,135,,0.41,,
11/12/2004,41381,,632,,135,,0.47,,
11/13/2004,41743,,362,,135,,0.00,,
11/14/2004,42231,,488,,135,,0.00,,
11/15/2004,42967,,736,,135,,0.00,,
11/16/2004,44017,,1050,,135,,0.00,,
11/17/2004,44638,,621,,135,,0.00,,
11/18/2004,45361,,723,,130,,0.00,,
11/19/2004,45908,,547,,130,,0.00,,
11/20/2004,46419,,511,,130,,0.00,,
11/21/2004,46794,,375,,130,,0.00,,
11/22/2004,46866,,72,,130,,0.00,,
11/23/2004,47648,,782,,133,,0.00,,
11/24/2004,48089,,441,,229,,0.00,,
11/25/2004,47352,,-737,,457,,0.00,,
11/26/2004,46685,,-667,,460,,0.00,,
11/27/2004,46086,,-599,,460,,1.02,,
11/28/2004,45566,,-520,,460,,0.00,,
11/29/2004,45263,,-303,,456,,0.00,,
11/30/2004,45150,,-113,,463,,0.00,,
12/01/2004,45258,,108,,462,,0.00,,
12/02/2004,45458,,200,,471,,0.00,,
12/03/2004,45550,,92,,468,,0.00,,
12/04/2004,45637,,87,,462,,0.00,,
12/05/2004,45659,,22,,469,,0.00,,
12/06/2004,44773,,-886,,478,,0.00,,
12/07/2004,43926,,-847,,478,,0.80,,
12/08/2004,43116,,-810,,477,,1.01,,
12/09/2004,42290,,-826,,474,,0.27,,
