05/18/2015,ThecapacitywasrevisedinApril2015usingdatafromthe
SacramentoMunicipalUtilityDistrict,
Date,RESELE , ,,STORAGE , ,,RESCHG , ,,
 ,FEET, ,AF, ,AF, ,
12/02/2004,4821.87,,158183,,359,,
12/03/2004,4822.08,,158601,,418,,
12/04/2004,4822.33,,159101,,500,,
12/05/2004,4822.50,,159441,,340,,
12/06/2004,4822.62,,159682,,241,,
12/07/2004,4823.14,,160748,,1066,,
12/08/2004,4823.49,,161435,,687,,
12/09/2004,4823.68,,161820,,385,,
12/10/2004,4824.05,,162570,,750,,
12/11/2004,4824.33,e,163115,,545,,
12/12/2004,4824.60,,163692,,577,,
12/13/2004,4825.02,,164552,,860,,
12/14/2004,4825.35,,165230,,678,,
12/15/2004,4825.64,,165828,,598,,
12/16/2004,4825.87,,166303,,475,,
12/17/2004,4825.76,,166074,,-229,,
12/18/2004,4825.46,,165456,,-618,,
12/19/2004,4825.25,,165024,,-432,,
12/20/2004,4825.28,,165085,,61,,
12/21/2004,4825.02,,164552,,-533,,
12/22/2004,4824.74,,163978,,-574,,
12/23/2004,4824.45,,163386,,-592,,
12/24/2004,4824.30,,163079,,-307,,
12/25/2004,4824.10,,162672,,-407,,
12/26/2004,4824.09,,162651,,-21,,
12/27/2004,4823.85,,162164,,-487,,
12/28/2004,4823.60,,161677,,-487,,
12/29/2004,4823.46,,161374,,-303,,
12/30/2004,4823.62,,161698,,324,,
12/31/2004,4823.68,,161820,,122,,
01/01/2005,4823.70,,161860,,40,,
01/02/2005,4823.57,,161596,,-264,,
01/03/2005,4823.45,,161354,,-242,,
01/04/2005,4823.30,,161050,,-304,,
01/05/2005,4823.53,,161515,,465,,
01/06/2005,4823.66,,161779,,264,,
01/07/2005,4823.70,,161860,,81,,
01/08/2005,4823.81,,162083,,223,,
01/09/2005,4823.67,,161799,,-284,,
01/10/2005,4823.64,,161758,,-41,,
01/11/2005,4824.03,,162529,,771,,
01/12/2005,4824.22,,162917,,388,,
01/13/2005,4824.46,,163406,,489,,
01/14/2005,4824.38,,163242,,-164,,
01/15/2005,4824.70,,163896,,654,,
01/16/2005,4824.49,,163467,,-429,,
01/17/2005,4824.70,,163896,,429,,
01/18/2005,4824.97,,164470,,574,,
01/19/2005,4825.38,,165291,,821,,
01/20/2005,4825.58,,165704,,413,,
01/21/2005,4825.78,,166116,,412,,
01/22/2005,4826.01,,166591,,475,,
01/23/2005,4826.01,,166591,,0,,
01/24/2005,4826.24,,167069,,478,,
01/25/2005,4826.50,,167609,,540,,
01/26/2005,4826.80,,168233,,624,,
01/27/2005,4827.27,,169216,,983,,
01/28/2005,4827.35,,169384,,168,,
01/29/2005,4828.06,,170876,,1492,,
01/30/2005,4828.47,,171743,,867,,
01/31/2005,4828.89,,172634,,891,,
02/01/2005,4829.57,,174083,,1449,,
02/02/2005,4829.12,,173123,,-960,,
02/03/2005,4828.60,,172039,,-1084,,
02/04/2005,4828.07,,170897,,-1142,,
02/05/2005,4827.60,,169929,,-968,,
